N0: H502(260) H4681(176) H511(150) H6279(138) H3131(120) H2871(120)
N1402: H6160(165) H7385(132) H11200(96) H7960(94) H136(74) H1594(65)
N1403: H300(171) H10304(157) H10439(151) H10680(150) H8232(126) H475(108)
N1404: H2686(118) H5131(117) H6467(115) H9006(113) H11164(104) H6444(83)
N1405: H8924(111) H11657(93) H3015(90) H11870(89) H4121(86) H6901(73)
N1406: H7696(100) H5344(90) H7002(72) H9356(60) H974(56) H5194(56)
N1407: H11449(91) H3303(90) H2072(89) H1848(52) H8841(39) H1989(39)
N1408: H5510(108) H4864(70) H7007(60) H3364(60) H599(57) H7944(50)
N1409: H8249(139) H1428(137) H2296(134) H8960(128) H10700(83) H3605(45)
N1410: H9975(82) H3554(74) H9682(49) H10169(46) H8077(45) H7267(41)
N1411: H6583(140) H1364(135) H381(109) H988(96) H2348(94) H6373(69)
N1412: H5705(116) H8324(100) H9249(92) H9985(74) H7491(66) H588(46)
N1413: H7373(83) H2358(70) H10007(33) H3889(27) H9483(27) H10459(26)
N1414: H10951(128) H6241(94) H3403(90) H6199(86) H4061(80) H8917(58)
N1415: H2653(95) H1095(87) H7154(80) H452(68) H10603(61) H6393(51)
N1416: H102(84) H2313(60) H9718(30) H9761(28) H2848(26) H7341(22)
N1417: H2733(58) H8386(56) H9188(52) H657(48) H10252(47) H10546(45)
N1418: H1763(145) H8190(100) H9341(85) H6829(65) H7240(65) H6949(57)
N1419: H3745(109) H1968(106) H6132(96) H5006(91) H2992(82) H6673(79)
N1420: H5757(127) H2289(122) H3078(91) H5244(78) H4044(65) H858(48)
N1421: H7606(110) H8979(105) H8406(95) H6916(90) H1587(80) H3216(75)
N1422: H2501(90) H10050(80) H10722(80) H9106(80) H10918(80) H766(70)
N1423: H4223(132) H10070(91) H2437(90) H4703(86) H2030(68) H10955(64)
N1424: H6977(198) H8505(180) H10877(114) H11925(75) H2612(51) H758(51)
N1425: H9133(80) H8253(77) H10317(77) H3004(61) H9236(60) H8687(59)
N1426: H10828(10) H4304(7) H2095(7) H6215(6) H10757(5) H2758(4)
N1427: H1470(108) H11643(94) H4128(92) H10965(86) H2932(69) H10885(65)
N1428: H10265(46) H1151(40) H9256(30) H535(14) H2591(13) H9054(10)
N1429: H10071(159) H11131(138) H5121(116) H752(66) H10919(63) H7275(62)
N1430: H3730(64) H11576(43) H10080(41) H3351(37) H7987(16) H3105(8)
N1431: H5756(78) H10255(69) H3041(60) H11256(50) H9087(40) H9838(40)
N1432: H3716(124) H7054(104) H7521(84) H2205(60) H7640(60) H2298(55)
N1433: H7052(108) H3557(106) H8411(100) H11811(96) H568(92) H3350(85)
N1434: H8532(108) H4161(100) H10478(64) H9928(53) H7932(48) H8046(40)
N1435: H11375(48) H10710(46) H8334(42) H312(39) H2408(35) H9401(32)
N1436: H2513(167) H6689(152) H8351(149) H2508(144) H9635(116) H8065(107)
N1437: H1488(178) H1437(150) H3927(150) H5061(140) H3000(138) H5960(114)
N1438: H11252(144) H10542(121) H2617(108) H1024(104) H6182(91) H4794(80)
N1439: H3256(125) H4380(94) H4628(88) H2384(80) H2751(68) H964(62)
N1440: H7937(141) H4084(87) H4840(77) H7588(62) H1008(54) H8255(52)
N1441: H8586(122) H5832(120) H11130(115) H7539(114) H407(102) H4636(82)
N1442: H10296(99) H8727(93) H9659(90) H586(87) H2901(66) H11275(57)
N1443: H8926(196) H11359(182) H6236(132) H6536(94) H5993(88) H11059(66)
N1444: H3184(52) H9469(51) H9939(50) H10771(48) H4960(42) H11007(37)
N1445: H7377(108) H6956(91) H693(75) H3008(75) H8169(70) H7600(65)
N1446: H11606(101) H4721(55) H7966(41) H5064(38) H4231(28) H9669(22)
N1447: H8107(96) H2725(80) H7592(62) H1866(53) H3686(46) H2613(43)
N1448: H11281(168) H11236(160) H10783(144) H2251(120) H6650(94) H4428(67)
N1449: H11834(46) H6579(40) H7773(34) H10062(22) H9924(16) H6745(11)
N1450: H430(92) H10810(70) H4684(39) H7462(30) H2537(30) H8450(21)
N1451: H3258(78) H11494(77) H3757(56) H1046(50) H3209(48) H8680(46)
N1452: H3580(82) H1141(74) H8410(67) H7858(48) H1970(20) H10045(11)
N1453: H7489(102) H4426(84) H10199(72) H3617(72) H2947(40) H8487(40)
N1454: H1073(85) H5343(78) H4654(72) H9602(58) H9037(55) H5283(47)
N1455: H11850(46) H11258(34) H11962(30) H1227(30) H6605(28) H1157(24)
N1456: H4116(96) H1494(59) H8767(59) H10657(37) H7894(34) H6699(30)
N1457: H3633(129) H5805(100) H3478(97) H11835(88) H11624(84) H8562(62)
N1458: H10150(182) H5713(136) H4675(120) H5838(113) H5312(104) H4393(102)
N1459: H4336(80) H8425(67) H7762(54) H1935(52) H8825(51) H4775(50)
N1460: H4528(65) H11430(46) H3614(44) H6541(44) H8579(44) H1839(42)
N1461: H11824(135) H9942(128) H5841(121) H3512(105) H8514(84) H3307(66)
N1462: H3977(95) H3559(43) H5206(34) H756(28) H2560(24) H46(17)
N1463: H2542(39) H1189(33) H40(29) H7569(26) H4796(21) H8266(18)
N1464: H3771(189) H11608(170) H11630(166) H8050(135) H1971(85) H10791(72)
N1465: H10740(107) H9904(105) H4915(96) H8289(86) H2687(67) H2131(65)
N1466: H5045(128) H11512(74) H6433(73) H3057(72) H7707(70) H1856(68)
N1467: H5978(166) H4829(147) H1860(137) H7344(106) H9777(103) H2393(96)
N1468: H9759(70) H2362(69) H1038(46) H4436(31) H9766(16) H8345(8)
N1469: H3979(177) H7457(172) H4908(170) H1899(154) H7864(131) H5314(124)
N1470: H1624(136) H7419(124) H4741(122) H5397(80) H6898(52) H4811(42)
N1471: H4314(104) H3775(80) H11752(68) H4596(60) H10702(20) H7979(20)
N1472: H4917(36) H1248(33) H4861(32) H4910(21) H9318(11) H9420(9)
N1473: H3751(20) H11089(20) H6686(16) H532(14) H11005(14) H1543(12)
N1474: H11457(120) H6538(96) H8685(68) H9090(63) H7499(51) H7971(48)
N1475: H5027(108) H9118(86) H477(50) H7323(47) H7706(35) H2486(26)
N1476: H9530(31) H9254(26) H5447(18) H8068(12) H6069(11) H6985(6)
N1477: H2793(120) H2407(113) H5844(100) H7573(77) H10083(73) H7642(36)
N1478: H5870(80) H2430(70) H7638(66) H5164(56) H6695(50) H5403(44)
N1479: H11888(50) H3077(36) H5173(20) H9363(16) H528(10) H8141(4)
N1480: H10174(62) H8350(58) H541(50) H4639(50) H11572(48) H4541(32)
N1481: H5586(89) H1999(48) H3402(41) H6219(37) H11807(25) H9364(25)
N1482: H3203(107) H8641(95) H9605(86) H5466(75) H2002(71) H4395(67)
N1483: H10489(65) H180(62) H7393(44) H7605(40) H1106(34) H2753(26)
N1484: H11793(185) H110(159) H9269(143) H2850(138) H170(124) H9071(123)
N1485: H6559(104) H11881(98) H1513(81) H11861(81) H1320(67) H8729(43)
N1486: H7485(134) H2274(104) H1236(96) H2770(80) H2154(72) H2287(70)
N1487: H4126(44) H11211(34) H7439(32) H8286(28) H6731(22) H10676(16)
N1488: H11404(119) H9107(111) H11797(82) H11695(77) H3561(66) H7821(57)
N1489: H2535(137) H11567(120) H4420(113) H11270(112) H1797(105) H10731(96)
N1490: H5520(42) H2119(24) H6566(24) H8401(24) H4098(21) H607(20)
N1491: H6318(134) H4655(117) H4798(114) H9799(108) H11913(103) H10649(94)
N1492: H9168(158) H2731(118) H11171(102) H4316(84) H2371(57) H8559(56)
N1493: H2481(87) H920(78) H116(66) H6733(55) H831(52) H5167(36)
N1494: H5326(86) H775(65) H1123(62) H639(53) H6293(39) H882(33)
N1495: H781(147) H6767(99) H3864(99) H8(92) H7324(87) H8163(67)
N1496: H1422(64) H3109(48) H7909(42) H2812(36) H8882(30) H3887(25)
N1497: H11500(82) H8622(79) H829(38) H9901(38) H8730(37) H2624(34)
N1498: H8677(106) H1390(97) H7110(81) H7974(77) H580(76) H851(73)
N1499: H3338(90) H10795(82) H6883(61) H6282(53) H3327(50) H382(47)
N1500: H328(149) H11144(132) H5981(83) H9814(77) H2518(69) H4533(57)
N1501: H8583(88) H2075(83) H11120(79) H10796(70) H757(50) H5997(41)
N1502: H8930(88) H4949(77) H9870(70) H1747(56) H1537(52) H5722(51)
N1503: H3791(126) H11911(98) H8738(74) H4771(72) H6047(66) H2941(64)
N1504: H8765(80) H10354(51) H7805(41) H2328(35) H895(27) H10957(20)
N1505: H3027(100) H3486(100) H2085(90) H6271(90) H1737(80) H7369(60)
N1506: H6622(105) H8508(93) H5408(76) H2678(74) H11546(42) H3572(41)
N1507: H4234(111) H9725(103) H11052(72) H2466(70) H8840(66) H5742(53)
N1508: H5381(48) H11206(38) H11798(31) H961(27) H3776(23) H3511(20)
N1509: H5839(146) H8299(144) H1896(129) H2204(123) H7744(112) H5842(108)
N1510: H9038(52) H687(48) H9012(48) H11468(44) H11361(40) H6162(36)
N1511: H112(118) H1129(92) H5648(88) H7272(78) H5888(42) H7861(42)
N1512: H4874(141) H641(115) H11041(100) H7441(98) H1728(90) H1729(64)
N1513: H395(127) H2327(115) H2964(99) H9426(96) H8895(80) H3314(69)
N1514: H6386(60) H6129(51) H9322(51) H6900(48) H5445(39) H9701(30)
N1515: H6137(163) H8533(163) H1605(128) H10517(77) H6937(58) H3390(58)
N1516: H5632(71) H2326(58) H8467(33) H10311(14) H10422(13) H396(12)
N1517: H2469(18) H4405(6) H7181(2) H5657(0) H3623(0) H7576(0)
N1518: H1836(125) H3575(109) H8491(60) H4682(55) H409(48) H1416(47)
N1519: H3370(103) H3061(67) H10623(63) H8948(41) H6468(34) H10823(32)
N1520: H8966(150) H5571(99) H2926(86) H7546(84) H5843(76) H4704(63)
N1521: H2487(160) H6588(131) H11761(113) H591(94) H1087(76) H6909(73)
N1522: H6032(84) H8412(84) H11914(84) H3380(63) H3429(63) H10291(49)
N1523: H9086(129) H2069(93) H3822(80) H936(79) H9323(74) H634(70)
N1524: H7901(179) H1961(164) H10214(159) H9289(130) H10081(122) H9594(113)
N1525: H11421(41) H287(40) H529(29) H10979(28) H11274(25) H5338(20)
N1526: H2820(58) H2470(38) H31(36) H9109(33) H9070(30) H9557(13)
N1527: H3722(126) H1393(121) H7596(119) H11210(104) H2581(91) H3230(66)
N1528: H9011(135) H7572(131) H2557(120) H7794(107) H5192(67) H2252(48)
N1529: H8238(131) H62(126) H7582(107) H6208(101) H7912(95) H10248(73)
N1530: H7313(180) H2201(166) H9085(102) H1457(88) H10467(86) H633(75)
N1531: H7607(54) H11675(53) H4377(49) H3253(38) H1069(34) H9268(34)
N1532: H10671(116) H8753(85) H10869(66) H8365(47) H1683(40) H8807(31)
N1533: H311(82) H5680(69) H5777(60) H5653(56) H11405(56) H6803(49)
N1534: H2838(110) H840(100) H8783(100) H5840(87) H1888(75) H5361(67)
N1535: H4001(55) H4634(50) H9500(48) H10886(47) H8369(43) H9262(37)
N1536: H4270(86) H5526(63) H1120(61) H5809(58) H6248(46) H8849(46)
N1537: H11207(8) H7558(7) H145(3) H10875(2) H6334(0) H4047(0)
N1538: H1109(140) H4265(138) H11382(132) H9915(100) H7754(84) H6238(70)
N1539: H1828(129) H2067(123) H67(69) H413(66) H7685(63) H9821(63)
N1540: H8256(65) H10907(50) H3847(44) H35(43) H3921(38) H9181(25)
N1541: H7820(112) H9876(87) H352(76) H9096(67) H4498(63) H6761(60)
N1542: H689(112) H4107(107) H5773(92) H4674(90) H8284(85) H1180(61)
N1543: H4083(181) H6294(157) H1555(117) H2176(116) H7207(110) H11587(105)
N1544: H9220(114) H786(81) H986(81) H9019(75) H10465(75) H376(63)
N1545: H9485(53) H7446(43) H2441(39) H8211(28) H7827(28) H1708(21)
N1546: H4370(42) H5391(30) H9442(30) H11739(29) H10399(28) H1313(23)
N1547: H2813(173) H7649(157) H1433(147) H4751(130) H8760(109) H9773(109)
N1548: H5150(53) H7537(44) H7250(29) H4117(26) H5715(26) H8177(18)
N1549: H11519(81) H3296(60) H8170(52) H5311(50) H10590(49) H5733(46)
N1550: H6505(96) H787(94) H9375(93) H378(78) H7939(59) H2985(59)
N1551: H144(99) H6775(81) H10310(74) H3682(69) H2978(61) H6026(38)
N1552: H6113(196) H9623(168) H4934(150) H4350(134) H504(108) H4776(90)
N1553: H8821(133) H7(125) H7646(83) H963(82) H11790(51) H3373(36)
N1554: H6388(99) H1853(94) H1824(75) H6096(61) H8105(60) H11381(51)
N1555: H10152(87) H11757(75) H11295(69) H11442(66) H3711(63) H6647(63)
N1556: H563(83) H9023(82) H1802(73) H7265(70) H6007(66) H8376(57)
N1557: H9742(92) H7936(91) H8443(75) H10591(68) H4813(62) H10970(49)
N1558: H2625(162) H1671(116) H4417(102) H6580(102) H11326(89) H3001(89)
N1559: H6995(142) H6116(139) H10839(121) H7364(118) H4488(103) H534(95)
N1560: H8553(98) H6021(91) H7590(77) H2588(42) H4788(35) H4885(28)
N1561: H2737(110) H9997(80) H8975(74) H9459(68) H4659(66) H8945(64)
N1562: H8828(28) H3975(20) H4143(19) H10491(16) H10528(14) H8484(13)
N1563: H1943(47) H9208(46) H2837(31) H2626(27) H4854(26) H3888(17)
N1564: H1131(48) H3980(47) H10464(35) H11776(34) H1463(33) H6080(31)
N1565: H8851(64) H4189(59) H9822(54) H6020(44) H2460(39) H9155(33)
N1566: H9972(106) H9916(58) H11269(44) H4671(38) H1597(34) H10578(28)
N1567: H6268(107) H4529(94) H10693(89) H7902(76) H8809(57) H11024(50)
N1568: H844(200) H1542(200) H9093(135) H11669(135) H5775(125) H6589(95)
N1569: H10228(97) H9260(93) H11869(80) H1014(79) H7613(65) H9555(61)
N1570: H11709(153) H1604(121) H10756(105) H3851(87) H4875(68) H5581(68)
N1571: H5862(109) H1029(105) H11289(91) H6659(90) H7550(90) H9878(82)
N1572: H338(98) H439(86) H8477(77) H10932(71) H2865(62) H6830(58)
N1573: H8952(119) H5872(90) H5232(76) H7130(72) H481(48) H2855(48)
N1574: H2884(88) H8184(81) H2400(78) H1864(73) H2890(67) H9694(66)
N1575: H3818(54) H6610(54) H8901(51) H5442(45) H1272(42) H6563(24)
N1576: H7484(232) H1759(231) H91(220) H1787(180) H9205(142) H5577(127)
N1577: H4333(132) H11958(118) H8187(111) H5544(92) H8101(77) H5126(76)
N1578: H6436(118) H245(98) H9286(44) H7811(31) H9367(25) H183(19)
N1579: H4746(142) H10222(129) H11451(123) H8234(102) H10884(79) H4996(69)
N1580: H7714(98) H11008(89) H2077(58) H6969(53) H9867(41) H5102(35)
N1581: H11387(38) H4363(32) H5105(24) H1027(23) H2369(20) H8894(20)
N1582: H4369(128) H9996(115) H7317(111) H5868(82) H1644(81) H2867(59)
N1583: H11944(60) H4942(58) H6892(50) H4951(45) H1049(45) H11305(41)
N1584: H9699(145) H1760(137) H1429(94) H3441(90) H6812(71) H10178(65)
N1585: H7302(102) H7796(85) H4487(63) H10231(53) H2583(52) H8964(32)
N1586: H1021(189) H7333(181) H5979(162) H10533(127) H2124(92) H5674(82)
N1587: H10767(184) H11805(160) H4649(120) H8820(120) H5658(104) H9863(96)
N1588: H10953(166) H210(147) H1486(128) H10398(117) H1762(113) H968(72)
N1589: H7016(137) H1257(111) H2045(110) H6691(107) H10089(95) H6550(85)
N1590: H11036(93) H10978(92) H5673(85) H891(72) H1196(46) H6376(38)
N1591: H9209(96) H4379(94) H8506(82) H1039(74) H9808(69) H5015(63)
N1592: H9134(172) H7788(164) H10036(155) H2910(115) H10254(99) H5714(98)
N1593: H7755(110) H9683(75) H9299(71) H10295(69) H3305(58) H3652(49)
N1594: H9135(153) H10074(126) H3532(114) H899(111) H2312(100) H1521(98)
N1595: H9658(120) H8462(118) H4193(112) H9769(110) H8079(106) H5737(64)
N1596: H7310(36) H5135(31) H10488(30) H79(29) H10911(27) H7493(27)
N1597: H5146(128) H1086(102) H494(96) H8210(96) H21(90) H8747(90)
N1598: H9693(65) H4069(32) H8749(19) H9528(18) H10761(7) H10706(6)
N1599: H2671(74) H9628(60) H11229(59) H1503(58) H10834(58) H8095(54)
N1600: H8524(46) H5342(45) H1666(43) H11799(40) H7925(38) H8920(37)
N1601: H6283(71) H1063(53) H11698(50) H11909(34) H2330(29) H11775(13)
N1602: H7567(224) H1522(144) H11143(112) H8012(104) H1991(88) H669(56)
N1603: H7920(20) H912(18) H2453(10) H5113(8) H8056(8) H11173(8)
N1604: H6442(122) H11324(114) H10800(107) H9651(100) H11194(100) H4302(85)
N1605: H6572(91) H8503(84) H5966(63) H8935(49) H5881(42) H4439(42)
N1606: H5258(142) H4389(134) H605(118) H2935(116) H5941(79) H414(68)
N1607: H2447(135) H8461(126) H1339(119) H2664(104) H7627(89) H10899(89)
N1608: H5137(190) H5352(165) H4312(160) H4106(141) H8741(128) H7363(123)
N1609: H9667(46) H3555(15) H6335(10) H1134(8) H2106(4) H6760(4)
N1610: H2524(164) H71(160) H1115(124) H4587(103) H7098(92) H11014(78)
N1611: H60(120) H4433(73) H9965(65) H44(36) H284(33) H5294(32)
N1612: H11231(90) H5598(78) H6741(78) H2615(63) H2139(57) H11297(54)
N1613: H3021(122) H5704(107) H10425(98) H9173(75) H4918(48) H9427(35)
N1614: H759(64) H6577(60) H10324(56) H3941(40) H2165(32) H2153(28)
N1615: H512(132) H1091(120) H61(112) H3801(108) H1441(88) H4152(84)
N1616: H9490(122) H10298(108) H5895(69) H2661(60) H5455(58) H7020(39)
N1617: H2748(115) H9345(113) H9045(105) H97(89) H999(83) H7319(52)
N1618: H8149(59) H2020(50) H4440(36) H11243(35) H9875(32) H6013(29)
N1619: H2912(101) H317(98) H5107(90) H841(75) H6145(62) H8854(49)
N1620: H3153(153) H10340(145) H3110(142) H5790(101) H356(92) H10852(73)
N1621: H8502(98) H8536(94) H9479(63) H1284(58) H1784(48) H4581(36)
N1622: H4357(108) H10126(108) H4(82) H2026(80) H7668(38) H6628(36)
N1623: H1252(115) H8131(115) H1466(93) H4727(89) H2345(63) H9631(40)
N1624: H9660(93) H4926(53) H11157(49) H8061(42) H9166(40) H5013(40)
N1625: H4317(132) H4698(129) H11195(108) H3741(78) H5527(78) H6656(78)
N1626: H4824(108) H6940(96) H9478(87) H9520(69) H762(57) H8858(33)
N1627: H2700(163) H11466(126) H5148(109) H645(82) H5780(68) H11641(66)
N1628: H319(164) H2924(102) H1518(76) H7084(70) H843(62) H6907(50)
N1629: H5904(94) H2778(77) H6399(74) H3829(71) H3901(61) H6614(52)
N1630: H1529(120) H2032(114) H5430(111) H5469(105) H5181(96) H11760(87)
N1631: H4471(34) H5819(34) H5691(30) H463(23) H10809(18) H9316(14)
N1632: H5328(122) H6790(106) H8626(102) H5046(90) H470(74) H1453(74)
N1633: H8911(132) H10401(97) H4982(84) H1979(63) H6868(63) H6062(51)
N1634: H1932(54) H6989(44) H3688(32) H2966(19) H6904(9) H6671(0)
N1635: H9757(176) H2074(168) H11659(146) H2895(140) H11942(136) H11661(126)
N1636: H7194(176) H531(144) H7255(134) H1468(117) H9800(108) H7845(83)
N1637: H10457(101) H2485(100) H8196(68) H9696(47) H4617(41) H238(28)
N1638: H196(100) H5893(99) H5679(95) H5739(91) H11132(80) H2440(76)
N1639: H626(129) H8448(85) H9850(56) H3400(37) H2787(37) H2325(37)
N1640: H1093(110) H10194(110) H8202(106) H8183(100) H742(98) H2220(96)
N1641: H9339(136) H2578(128) H5746(125) H5395(101) H8899(58) H873(37)
N1642: H8567(73) H10850(65) H1343(59) H5108(59) H7560(56) H3819(54)
N1643: H2819(98) H9668(94) H1246(66) H9429(49) H8705(46) H9139(42)
N1644: H3272(183) H6789(150) H400(129) H5675(67) H8016(66) H3201(63)
N1645: H8154(60) H11287(60) H9056(55) H8786(40) H10880(35) H4993(35)
N1646: H2916(194) H3186(166) H2351(160) H11631(114) H8008(106) H4640(76)
N1647: H6738(124) H8758(112) H10290(105) H8584(99) H1041(89) H9592(81)
N1648: H5086(104) H3732(90) H6927(58) H10096(47) H2088(42) H3344(41)
N1649: H11721(156) H1592(143) H9533(97) H674(88) H10650(84) H9476(76)
N1650: H10346(108) H11863(105) H11332(69) H10077(66) H10348(60) H2547(58)
N1651: H9892(160) H6060(141) H11837(134) H11506(126) H1815(99) H987(89)
N1652: H3568(81) H5249(81) H6787(81) H5364(72) H11311(60) H3675(57)
N1653: H1949(117) H3456(78) H7398(69) H6552(39) H2991(33) H8138(33)
N1654: H1998(94) H3699(58) H5625(42) H5995(34) H11578(32) H10555(30)
N1655: H9153(175) H2386(147) H5545(142) H179(140) H6273(139) H2299(126)
N1656: H2083(94) H7807(71) H1827(64) H1113(54) H7436(48) H7239(35)
N1657: H9755(172) H4424(134) H5572(124) H11064(122) H9355(96) H7998(70)
N1658: H5685(86) H6700(65) H4837(63) H3744(58) H7372(53) H9386(52)
N1659: H1894(136) H10861(136) H11019(136) H5149(112) H2974(96) H7555(88)
N1660: H7218(80) H8925(74) H10628(50) H5000(40) H3930(40) H6805(29)
N1661: H9894(162) H3101(154) H10207(127) H5585(84) H3436(70) H8332(63)
N1662: H8302(63) H5372(62) H11414(62) H1637(47) H10526(42) H7044(40)
N1663: H9787(130) H4929(129) H6324(110) H8507(87) H11445(82) H5110(36)
N1664: H2426(144) H5785(128) H10881(106) H2874(94) H1075(83) H10961(55)
N1665: H2222(65) H3683(53) H10582(52) H10456(34) H11732(27) H8354(15)
N1666: H6002(53) H10975(26) H2870(20) H9433(15) H4517(14) H10849(13)
N1667: H10247(151) H11999(88) H10667(78) H10707(67) H9648(64) H11694(48)
N1668: H2516(60) H5808(52) H8918(52) H10201(42) H4354(30) H10337(24)
N1669: H7908(79) H2834(63) H1690(54) H1847(46) H6372(27) H11535(21)
N1670: H9460(74) H2092(74) H1471(68) H3530(67) H11773(38) H10673(36)
N1671: H10548(164) H6894(157) H10630(142) H5323(131) H813(112) H4832(106)
N1672: H1842(135) H7751(125) H9058(97) H2321(91) H1352(84) H5207(74)
N1673: H11730(122) H5134(114) H9826(108) H1862(97) H3255(72) H2507(44)
N1674: H533(160) H9112(127) H11912(127) H9036(105) H10153(84) H6569(77)
N1675: H2120(161) H5242(129) H10091(98) H9653(96) H9793(73) H5224(68)
N1676: H5612(112) H3982(102) H7504(94) H9200(91) H5239(34) H7992(32)
N1677: H2796(190) H4980(153) H618(142) H7556(125) H418(111) H7982(92)
N1678: H4080(82) H11561(65) H11729(64) H7391(62) H10034(57) H1937(40)
N1679: H11103(126) H2521(114) H5090(86) H3063(80) H6413(72) H8872(60)
N1680: H5717(180) H5003(171) H8147(122) H6533(118) H4834(111) H7514(86)
N1681: H9257(114) H6193(104) H10632(94) H4454(90) H4139(71) H5001(70)
N1682: H8666(109) H8990(103) H754(100) H5662(90) H7071(90) H3366(79)
N1683: H222(82) H9079(69) H5626(44) H7234(39) H4114(35) H9293(29)
N1684: H3222(75) H7214(72) H1448(69) H8737(69) H4008(66) H2595(60)
N1685: H9161(96) H6574(81) H8992(54) H5774(27) H6584(10) H5446(7)
N1686: H4969(87) H5915(54) H7198(43) H1704(40) H10424(39) H3727(31)
N1687: H1799(105) H1082(98) H1060(84) H1154(49) H2887(42) H8891(42)
N1688: H1238(88) H2995(87) H6517(82) H8999(58) H9175(48) H9115(48)
N1689: H8270(21) H10674(17) H10974(14) H1595(9) H8769(4) H6998(2)
N1690: H9925(142) H6920(94) H262(71) H4233(64) H7631(51) H1781(45)
N1691: H11623(135) H1377(90) H2517(84) H9489(81) H8835(69) H921(63)
N1692: H6383(143) H3997(139) H11168(137) H9835(131) H4427(119) H2885(116)
N1693: H4948(164) H4192(154) H50(134) H8774(132) H8818(125) H9903(98)
N1694: H1782(51) H3577(45) H10935(43) H11899(42) H9962(39) H11122(35)
N1695: H1294(95) H5618(80) H9004(75) H6365(55) H6494(50) H7635(40)
N1696: H5240(60) H8063(52) H3200(50) H526(44) H9122(40) H2902(36)
N1697: H3902(100) H2660(91) H8435(59) H11492(52) H9278(39) H8387(38)
N1698: H877(115) H8055(104) H5431(91) H7169(90) H9111(80) H3537(70)
N1699: H9502(191) H5963(115) H3164(114) H10518(79) H4199(74) H5460(71)
N1700: H579(102) H3606(94) H3961(92) H3942(84) H4826(78) H5587(74)
N1701: H3425(150) H11683(140) H6734(125) H9936(100) H1593(50) H9681(50)
N1702: H11198(70) H482(58) H8557(58) H2126(54) H11985(50) H4326(42)
N1703: H4705(108) H2628(105) H2172(96) H5644(49) H4137(46) H4198(46)
N1704: H9503(66) H6537(61) H7105(59) H1358(56) H6046(53) H4582(49)
N1705: H744(106) H11887(105) H729(90) H7844(56) H2633(44) H4457(29)
N1706: H191(84) H10205(80) H8440(72) H10734(64) H7832(44) H6619(40)
N1707: H582(84) H11012(77) H11896(74) H2963(49) H8887(43) H1417(40)
N1708: H8311(157) H734(119) H4892(69) H1777(63) H7531(61) H301(47)
N1709: H9619(162) H10976(162) H7318(157) H4470(135) H10669(110) H10061(107)
N1710: H8595(134) H11849(84) H1719(76) H8719(60) H9005(60) H8275(46)
N1711: H2503(127) H4227(119) H9645(119) H3288(117) H2335(94) H9156(86)
N1712: H6479(82) H10926(72) H1476(66) H3628(52) H10521(49) H725(38)
N1713: H3709(80) H10994(68) H4882(64) H8168(55) H1130(53) H4146(50)
N1714: H525(50) H489(40) H820(35) H11345(35) H4860(30) H7946(20)
N1715: H2829(193) H4778(152) H5047(151) H6476(145) H10415(144) H5362(133)
N1716: H3636(98) H303(96) H3357(88) H3908(78) H1680(68) H9498(60)
N1717: H2187(64) H2915(60) H5201(55) H3567(45) H10762(45) H10683(43)
N1718: H8748(81) H1810(75) H7887(70) H4323(54) H10041(49) H3469(45)
N1719: H1501(44) H6464(39) H11980(21) H4690(19) H2147(17) H6617(10)
N1720: H6863(176) H6374(108) H5827(92) H4041(78) H3419(56) H8831(48)
N1721: H6930(77) H10042(51) H8668(41) H8409(23) H4971(12) H7375(10)
N1722: H10122(78) H11986(78) H10278(73) H4999(63) H3893(24) H226(15)
N1723: H332(100) H7637(100) H7890(100) H10663(100) H11066(80) H10116(80)
N1724: H5119(121) H11514(120) H9819(111) H9575(92) H11810(44) H10181(37)
N1725: H4419(88) H9748(80) H9141(63) H2171(57) H7118(40) H3091(29)
N1726: H8104(224) H134(205) H3588(161) H4272(148) H4797(112) H11653(85)
N1727: H11196(154) H2019(114) H3166(96) H335(90) H8172(82) H6919(72)
N1728: H8635(140) H11825(130) H2255(120) H584(90) H8396(80) H9813(80)
N1729: H4893(171) H3406(135) H5863(108) H3873(99) H5678(81) H8010(81)
N1730: H3799(114) H8233(108) H6394(103) H8108(52) H5356(50) H8985(50)
N1731: H5022(99) H9518(99) H3856(90) H6275(76) H10841(48) H3591(44)
N1732: H9421(80) H5230(56) H4717(49) H341(47) H5028(38) H213(30)
N1733: H2009(75) H8708(64) H3435(62) H4242(60) H2759(57) H9074(55)
N1734: H5026(130) H11927(116) H3891(75) H2211(63) H8395(51) H2691(50)
N1735: H7121(47) H6103(45) H11379(45) H737(40) H11995(29) H6023(22)
N1736: H11937(88) H10241(81) H5945(77) H6391(62) H9515(54) H6029(51)
N1737: H1423(102) H9048(73) H9516(49) H2783(46) H4767(44) H10117(27)
N1738: H9370(102) H4142(83) H5866(63) H965(56) H11668(32) H11175(32)
N1739: H6242(119) H6405(106) H8291(92) H10078(92) H1280(81) H4259(66)
N1740: H9858(75) H11410(39) H862(27) H3848(18) H1879(18) H106(15)
N1741: H7360(116) H9324(108) H3158(75) H11047(75) H3657(75) H7346(74)
N1742: H6999(52) H825(40) H10321(22) H1253(20) H4799(20) H8614(18)
N1743: H219(108) H10793(104) H8312(93) H2455(54) H5985(44) H1603(43)
N1744: H2930(53) H5894(32) H6027(28) H6135(25) H7433(24) H7295(20)
N1745: H9579(124) H9342(96) H1214(74) H7999(68) H3006(66) H4869(65)
